IfcRectangularTrimmedSurface,BasisSurface,BasisSurface_IfcRectangularTrimmedSurface,ENTITY
IfcRectangularTrimmedSurface,U1,U1_IfcRectangularTrimmedSurface,ENTITY
IfcRectangularTrimmedSurface,V1,V1_IfcRectangularTrimmedSurface,ENTITY
IfcRectangularTrimmedSurface,U2,U2_IfcRectangularTrimmedSurface,ENTITY
IfcRectangularTrimmedSurface,V2,V2_IfcRectangularTrimmedSurface,ENTITY
IfcRectangularTrimmedSurface,Usense,Usense_IfcRectangularTrimmedSurface,ENTITY
IfcRectangularTrimmedSurface,Vsense,Vsense_IfcRectangularTrimmedSurface,ENTITY
IfcRelAssignsToProduct,GlobalId,GlobalId_IfcRoot,ENTITY
IfcRelAssignsToProduct,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcRelAssignsToProduct,Name,Name_IfcRoot,ENTITY
IfcRelAssignsToProduct,Description,Description_IfcRoot,ENTITY
IfcRelAssignsToProduct,RelatedObjects,RelatedObjects_IfcRelAssigns,SET
IfcRelAssignsToProduct,RelatedObjectsType,RelatedObjectsType_IfcRelAssigns,ENTITY
IfcRelAssignsToProduct,RelatingProduct,RelatingProduct_IfcRelAssignsToProduct,ENTITY
IfcTextureCoordinateGenerator,Mode,Mode_IfcTextureCoordinateGenerator,ENTITY
IfcTextureCoordinateGenerator,Parameter,Parameter_IfcTextureCoordinateGenerator,LIST
IfcCooledBeamType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcCooledBeamType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcCooledBeamType,Name,Name_IfcRoot,ENTITY
IfcCooledBeamType,Description,Description_IfcRoot,ENTITY
IfcCooledBeamType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcCooledBeamType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcCooledBeamType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcCooledBeamType,Tag,Tag_IfcTypeProduct,ENTITY
IfcCooledBeamType,ElementType,ElementType_IfcElementType,ENTITY
IfcCooledBeamType,PredefinedType,PredefinedType_IfcCooledBeamType,ENTITY
IfcCableCarrierSegmentType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcCableCarrierSegmentType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcCableCarrierSegmentType,Name,Name_IfcRoot,ENTITY
IfcCableCarrierSegmentType,Description,Description_IfcRoot,ENTITY
IfcCableCarrierSegmentType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcCableCarrierSegmentType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcCableCarrierSegmentType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcCableCarrierSegmentType,Tag,Tag_IfcTypeProduct,ENTITY
IfcCableCarrierSegmentType,ElementType,ElementType_IfcElementType,ENTITY
IfcCableCarrierSegmentType,PredefinedType,PredefinedType_IfcCableCarrierSegmentType,ENTITY
IfcFeatureElement,GlobalId,GlobalId_IfcRoot,ENTITY
IfcFeatureElement,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcFeatureElement,Name,Name_IfcRoot,ENTITY
IfcFeatureElement,Description,Description_IfcRoot,ENTITY
IfcFeatureElement,ObjectType,ObjectType_IfcObject,ENTITY
IfcFeatureElement,ObjectPlacement,ObjectPlacement_IfcProduct,ENTITY
IfcFeatureElement,Representation,Representation_IfcProduct,ENTITY
IfcFeatureElement,Tag,Tag_IfcElement,ENTITY
IfcCurveStyleFontAndScaling,Name,Name_IfcCurveStyleFontAndScaling,ENTITY
IfcCurveStyleFontAndScaling,CurveFont,CurveFont_IfcCurveStyleFontAndScaling,ENTITY
IfcCurveStyleFontAndScaling,CurveFontScaling,CurveFontScaling_IfcCurveStyleFontAndScaling,ENTITY
IfcSectionReinforcementProperties,LongitudinalStartPosition,LongitudinalStartPosition_IfcSectionReinforcementProperties,ENTITY
IfcSectionReinforcementProperties,LongitudinalEndPosition,LongitudinalEndPosition_IfcSectionReinforcementProperties,ENTITY
IfcSectionReinforcementProperties,TransversePosition,TransversePosition_IfcSectionReinforcementProperties,ENTITY
IfcSectionReinforcementProperties,ReinforcementRole,ReinforcementRole_IfcSectionReinforcementProperties,ENTITY
IfcSectionReinforcementProperties,SectionDefinition,SectionDefinition_IfcSectionReinforcementProperties,ENTITY
IfcSectionReinforcementProperties,CrossSectionReinforcementDefinitions,CrossSectionReinforcementDefinitions_IfcSectionReinforcementProperties,SET
IfcSweptAreaSolid,SweptArea,SweptArea_IfcSweptAreaSolid,ENTITY
IfcSweptAreaSolid,Position,Position_IfcSweptAreaSolid,ENTITY
IfcElectricMotorType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcElectricMotorType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcElectricMotorType,Name,Name_IfcRoot,ENTITY
IfcElectricMotorType,Description,Description_IfcRoot,ENTITY
IfcElectricMotorType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcElectricMotorType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcElectricMotorType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcElectricMotorType,Tag,Tag_IfcTypeProduct,ENTITY
IfcElectricMotorType,ElementType,ElementType_IfcElementType,ENTITY
IfcElectricMotorType,PredefinedType,PredefinedType_IfcElectricMotorType,ENTITY
IfcElectricHeaterType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcElectricHeaterType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcElectricHeaterType,Name,Name_IfcRoot,ENTITY
IfcElectricHeaterType,Description,Description_IfcRoot,ENTITY
IfcElectricHeaterType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcElectricHeaterType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcElectricHeaterType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcElectricHeaterType,Tag,Tag_IfcTypeProduct,ENTITY
IfcElectricHeaterType,ElementType,ElementType_IfcElementType,ENTITY
IfcElectricHeaterType,PredefinedType,PredefinedType_IfcElectricHeaterType,ENTITY
IfcCoilType,GlobalId,GlobalId_IfcRoot,ENTITY
IfcCoilType,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcCoilType,Name,Name_IfcRoot,ENTITY
IfcCoilType,Description,Description_IfcRoot,ENTITY
IfcCoilType,ApplicableOccurrence,ApplicableOccurrence_IfcTypeObject,ENTITY
IfcCoilType,HasPropertySets,HasPropertySets_IfcTypeObject,SET
IfcCoilType,RepresentationMaps,RepresentationMaps_IfcTypeProduct,LIST
IfcCoilType,Tag,Tag_IfcTypeProduct,ENTITY
IfcCoilType,ElementType,ElementType_IfcElementType,ENTITY
IfcCoilType,PredefinedType,PredefinedType_IfcCoilType,ENTITY
IfcPile,GlobalId,GlobalId_IfcRoot,ENTITY
IfcPile,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcPile,Name,Name_IfcRoot,ENTITY
IfcPile,Description,Description_IfcRoot,ENTITY
IfcPile,ObjectType,ObjectType_IfcObject,ENTITY
IfcPile,ObjectPlacement,ObjectPlacement_IfcProduct,ENTITY
IfcPile,Representation,Representation_IfcProduct,ENTITY
IfcPile,Tag,Tag_IfcElement,ENTITY
IfcPile,PredefinedType,PredefinedType_IfcPile,ENTITY
IfcPile,ConstructionType,ConstructionType_IfcPile,ENTITY
IfcLibraryInformation,Name,Name_IfcLibraryInformation,ENTITY
IfcLibraryInformation,Version,Version_IfcLibraryInformation,ENTITY
IfcLibraryInformation,Publisher,Publisher_IfcLibraryInformation,ENTITY
IfcLibraryInformation,VersionDate,VersionDate_IfcLibraryInformation,ENTITY
IfcLibraryInformation,LibraryReference,LibraryReference_IfcLibraryInformation,SET
IfcProjectOrder,GlobalId,GlobalId_IfcRoot,ENTITY
IfcProjectOrder,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
IfcProjectOrder,Name,Name_IfcRoot,ENTITY
IfcProjectOrder,Description,Description_IfcRoot,ENTITY
IfcProjectOrder,ObjectType,ObjectType_IfcObject,ENTITY
IfcProjectOrder,ID,ID_IfcProjectOrder,ENTITY
IfcProjectOrder,PredefinedType,PredefinedType_IfcProjectOrder,ENTITY
IfcProjectOrder,Status,Status_IfcProjectOrder,ENTITY
IfcOrganization,Id,Id_IfcOrganization,ENTITY
IfcOrganization,Name,Name_IfcOrganization,ENTITY
IfcOrganization,Description,Description_IfcOrganization,ENTITY
IfcOrganization,Roles,Roles_IfcOrganization,LIST
IfcOrganization,Addresses,Addresses_IfcOrganization,LIST
IfcSectionedSpine,SpineCurve,SpineCurve_IfcSectionedSpine,ENTITY
IfcSectionedSpine,CrossSections,CrossSections_IfcSectionedSpine,LIST
IfcSectionedSpine,CrossSectionPositions,CrossSectionPositions_IfcSectionedSpine,LIST
IfcEdgeFeature,GlobalId,GlobalId_IfcRoot,ENTITY
IfcEdgeFeature,OwnerHistory,OwnerHistory_IfcRoot,ENTITY
